Bytes,RankA,RankB
452984832,0,1
452984832,0,2
452984832,0,3
28311552,0,4
28311552,0,5
452984832,0,6
28311552,0,7
28311552,0,8
452984832,0,9
28311552,0,10
28311552,0,11
28311552,0,12
1769472,0,13
1769472,0,14
28311552,0,15
1769472,0,16
1769472,0,17
452984832,0,18
28311552,0,19
28311552,0,20
28311552,0,21
1769472,0,22
1769472,0,23
28311552,0,24
1769472,0,25
1769472,0,26
603979776,0,27
37748736,0,28
37748736,0,29
37748736,0,30
2359296,0,31
2359296,0,32
37748736,0,33
2359296,0,34
2359296,0,35
37748736,0,36
2359296,0,37
2359296,0,38
2359296,0,39
147456,0,40
147456,0,41
2359296,0,42
147456,0,43
147456,0,44
37748736,0,45
2359296,0,46
2359296,0,47
2359296,0,48
147456,0,49
147456,0,50
2359296,0,51
147456,0,52
147456,0,53
452984832,1,2
28311552,1,3
452984832,1,4
28311552,1,5
28311552,1,6
452984832,1,7
28311552,1,8
28311552,1,9
452984832,1,10
28311552,1,11
1769472,1,12
28311552,1,13
1769472,1,14
1769472,1,15
28311552,1,16
1769472,1,17
28311552,1,18
452984832,1,19
28311552,1,20
1769472,1,21
28311552,1,22
1769472,1,23
1769472,1,24
28311552,1,25
1769472,1,26
37748736,1,27
603979776,1,28
37748736,1,29
2359296,1,30
37748736,1,31
2359296,1,32
2359296,1,33
37748736,1,34
2359296,1,35
2359296,1,36
37748736,1,37
2359296,1,38
147456,1,39
2359296,1,40
147456,1,41
147456,1,42
2359296,1,43
147456,1,44
2359296,1,45
37748736,1,46
2359296,1,47
147456,1,48
2359296,1,49
147456,1,50
147456,1,51
2359296,1,52
147456,1,53
28311552,2,3
28311552,2,4
452984832,2,5
28311552,2,6
28311552,2,7
452984832,2,8
28311552,2,9
452984832,2,20
1769472,2,21
1769472,2,22
28311552,2,23
1769472,2,24
1769472,2,25
28311552,2,26
37748736,2,27
37748736,2,28
603979776,2,29
2359296,2,30
2359296,2,31
37748736,2,32
2359296,2,33
2359296,2,34
37748736,2,35
2359296,2,36
2359296,2,37
37748736,2,38
147456,2,39
147456,2,40
2359296,2,41
147456,2,42
147456,2,43
2359296,2,44
2359296,2,45
2359296,2,46
37748736,2,47
147456,2,48
147456,2,49
2359296,2,50
147456,2,51
147456,2,52
2359296,2,53
452984832,3,4
452984832,3,5
452984832,3,6
28311552,3,7
28311552,3,8
28311552,3,9
603979776,3,30
37748736,3,31
37748736,3,32
37748736,3,33
2359296,3,34
2359296,3,35
2359296,3,36
147456,3,37
147456,3,38
37748736,3,39
2359296,3,40
2359296,3,41
2359296,3,42
147456,3,43
147456,3,44
2359296,3,45
147456,3,46
147456,3,47
37748736,3,48
2359296,3,49
2359296,3,50
2359296,3,51
147456,3,52
147456,3,53
452984832,4,5
28311552,4,6
452984832,4,7
28311552,4,8
1769472,4,9
37748736,4,40
2359296,4,41
147456,4,42
2359296,4,43
147456,4,44
147456,4,45
2359296,4,46
147456,4,47
2359296,4,48
37748736,4,49
2359296,4,50
147456,4,51
2359296,4,52
147456,4,53
28311552,5,6
28311552,5,7
452984832,5,8
1769472,5,9
37748736,5,50
147456,5,51
147456,5,52
2359296,5,53
452984832,6,7
452984832,6,8
28311552,6,9
452984832,7,8
1769472,7,9
1769472,8,9
28311552,10,2
1769472,10,3
28311552,10,4
1769472,10,5
1769472,10,6
28311552,10,7
1769472,10,8
452984832,10,9
452984832,10,11
28311552,10,12
452984832,10,13
28311552,10,14
28311552,10,15
452984832,10,16
28311552,10,17
28311552,10,18
452984832,10,19
28311552,10,20
1769472,10,21
28311552,10,22
1769472,10,23
1769472,10,24
28311552,10,25
1769472,10,26
2359296,10,27
37748736,10,28
2359296,10,29
147456,10,30
2359296,10,31
147456,10,32
147456,10,33
2359296,10,34
147456,10,35
37748736,10,36
603979776,10,37
37748736,10,38
2359296,10,39
37748736,10,40
2359296,10,41
2359296,10,42
37748736,10,43
2359296,10,44
2359296,10,45
37748736,10,46
2359296,10,47
147456,10,48
2359296,10,49
147456,10,50
147456,10,51
2359296,10,52
147456,10,53
452984832,11,2
1769472,11,3
1769472,11,4
28311552,11,5
1769472,11,6
1769472,11,7
28311552,11,8
452984832,11,9
28311552,11,12
28311552,11,13
452984832,11,14
28311552,11,15
28311552,11,16
452984832,11,17
28311552,11,18
28311552,11,19
452984832,11,20
1769472,11,21
1769472,11,22
28311552,11,23
1769472,11,24
1769472,11,25
28311552,11,26
2359296,11,27
2359296,11,28
37748736,11,29
147456,11,30
147456,11,31
2359296,11,32
147456,11,33
147456,11,34
2359296,11,35
37748736,11,36
37748736,11,37
603979776,11,38
2359296,11,39
2359296,11,40
37748736,11,41
2359296,11,42
2359296,11,43
37748736,11,44
2359296,11,45
2359296,11,46
37748736,11,47
147456,11,48
147456,11,49
2359296,11,50
147456,11,51
147456,11,52
2359296,11,53
1769472,12,2
452984832,12,3
28311552,12,4
28311552,12,5
28311552,12,6
1769472,12,7
1769472,12,8
452984832,12,9
452984832,12,13
452984832,12,14
452984832,12,15
28311552,12,16
28311552,12,17
28311552,12,18
1769472,12,19
1769472,12,20
452984832,12,21
28311552,12,22
28311552,12,23
28311552,12,24
1769472,12,25
1769472,12,26
2359296,12,27
147456,12,28
147456,12,29
37748736,12,30
2359296,12,31
2359296,12,32
2359296,12,33
147456,12,34
147456,12,35
37748736,12,36
2359296,12,37
2359296,12,38
603979776,12,39
37748736,12,40
37748736,12,41
37748736,12,42
2359296,12,43
2359296,12,44
2359296,12,45
147456,12,46
147456,12,47
37748736,12,48
2359296,12,49
2359296,12,50
2359296,12,51
147456,12,52
147456,12,53
1769472,13,2
28311552,13,3
452984832,13,4
28311552,13,5
1769472,13,6
28311552,13,7
1769472,13,8
28311552,13,9
452984832,13,14
28311552,13,15
452984832,13,16
28311552,13,17
1769472,13,18
28311552,13,19
1769472,13,20
28311552,13,21
452984832,13,22
28311552,13,23
1769472,13,24
28311552,13,25
1769472,13,26
147456,13,27
2359296,13,28
147456,13,29
2359296,13,30
37748736,13,31
2359296,13,32
147456,13,33
2359296,13,34
147456,13,35
2359296,13,36
37748736,13,37
2359296,13,38
37748736,13,39
603979776,13,40
37748736,13,41
2359296,13,42
37748736,13,43
2359296,13,44
147456,13,45
2359296,13,46
147456,13,47
2359296,13,48
37748736,13,49
2359296,13,50
147456,13,51
2359296,13,52
147456,13,53
28311552,14,2
28311552,14,3
28311552,14,4
452984832,14,5
1769472,14,6
1769472,14,7
28311552,14,8
28311552,14,9
28311552,14,15
28311552,14,16
452984832,14,17
1769472,14,18
1769472,14,19
28311552,14,20
28311552,14,21
28311552,14,22
452984832,14,23
1769472,14,24
1769472,14,25
28311552,14,26
147456,14,27
147456,14,28
2359296,14,29
2359296,14,30
2359296,14,31
37748736,14,32
147456,14,33
147456,14,34
2359296,14,35
2359296,14,36
2359296,14,37
37748736,14,38
37748736,14,39
37748736,14,40
603979776,14,41
2359296,14,42
2359296,14,43
37748736,14,44
147456,14,45
147456,14,46
2359296,14,47
2359296,14,48
2359296,14,49
37748736,14,50
147456,14,51
147456,14,52
2359296,14,53
1769472,15,2
28311552,15,3
1769472,15,4
1769472,15,5
452984832,15,6
28311552,15,7
28311552,15,8
452984832,15,9
452984832,15,16
452984832,15,17
28311552,15,18
1769472,15,19
1769472,15,20
28311552,15,21
1769472,15,22
1769472,15,23
452984832,15,24
28311552,15,25
28311552,15,26
2359296,15,27
147456,15,28
147456,15,29
2359296,15,30
147456,15,31
147456,15,32
37748736,15,33
2359296,15,34
2359296,15,35
37748736,15,36
2359296,15,37
2359296,15,38
37748736,15,39
2359296,15,40
2359296,15,41
603979776,15,42
37748736,15,43
37748736,15,44
2359296,15,45
147456,15,46
147456,15,47
2359296,15,48
147456,15,49
147456,15,50
37748736,15,51
2359296,15,52
2359296,15,53
1769472,16,2
1769472,16,3
28311552,16,4
1769472,16,5
28311552,16,6
452984832,16,7
28311552,16,8
28311552,16,9
452984832,16,17
1769472,16,18
28311552,16,19
1769472,16,20
1769472,16,21
28311552,16,22
1769472,16,23
28311552,16,24
452984832,16,25
28311552,16,26
147456,16,27
2359296,16,28
147456,16,29
147456,16,30
2359296,16,31
147456,16,32
2359296,16,33
37748736,16,34
2359296,16,35
2359296,16,36
37748736,16,37
2359296,16,38
2359296,16,39
37748736,16,40
2359296,16,41
37748736,16,42
603979776,16,43
37748736,16,44
147456,16,45
2359296,16,46
147456,16,47
147456,16,48
2359296,16,49
147456,16,50
2359296,16,51
37748736,16,52
2359296,16,53
28311552,17,2
1769472,17,3
1769472,17,4
28311552,17,5
28311552,17,6
28311552,17,7
452984832,17,8
28311552,17,9
1769472,17,18
1769472,17,19
28311552,17,20
1769472,17,21
1769472,17,22
28311552,17,23
28311552,17,24
28311552,17,25
452984832,17,26
147456,17,27
147456,17,28
2359296,17,29
147456,17,30
147456,17,31
2359296,17,32
2359296,17,33
2359296,17,34
37748736,17,35
2359296,17,36
2359296,17,37
37748736,17,38
2359296,17,39
2359296,17,40
37748736,17,41
37748736,17,42
37748736,17,43
603979776,17,44
147456,17,45
147456,17,46
2359296,17,47
147456,17,48
147456,17,49
2359296,17,50
2359296,17,51
2359296,17,52
37748736,17,53
28311552,18,2
28311552,18,3
1769472,18,4
1769472,18,5
28311552,18,6
1769472,18,7
1769472,18,8
452984832,18,9
452984832,18,19
452984832,18,20
452984832,18,21
28311552,18,22
28311552,18,23
452984832,18,24
28311552,18,25
28311552,18,26
37748736,18,27
2359296,18,28
2359296,18,29
2359296,18,30
147456,18,31
147456,18,32
2359296,18,33
147456,18,34
147456,18,35
37748736,18,36
2359296,18,37
2359296,18,38
2359296,18,39
147456,18,40
147456,18,41
2359296,18,42
147456,18,43
147456,18,44
603979776,18,45
37748736,18,46
37748736,18,47
37748736,18,48
2359296,18,49
2359296,18,50
37748736,18,51
2359296,18,52
2359296,18,53
28311552,19,2
1769472,19,3
28311552,19,4
1769472,19,5
1769472,19,6
28311552,19,7
1769472,19,8
28311552,19,9
452984832,19,20
28311552,19,21
452984832,19,22
28311552,19,23
28311552,19,24
452984832,19,25
28311552,19,26
2359296,19,27
37748736,19,28
2359296,19,29
147456,19,30
2359296,19,31
147456,19,32
147456,19,33
2359296,19,34
147456,19,35
2359296,19,36
37748736,19,37
2359296,19,38
147456,19,39
2359296,19,40
147456,19,41
147456,19,42
2359296,19,43
147456,19,44
37748736,19,45
603979776,19,46
37748736,19,47
2359296,19,48
37748736,19,49
2359296,19,50
2359296,19,51
37748736,19,52
2359296,19,53
1769472,20,3
1769472,20,4
28311552,20,5
1769472,20,6
1769472,20,7
28311552,20,8
28311552,20,9
28311552,20,21
28311552,20,22
452984832,20,23
28311552,20,24
28311552,20,25
452984832,20,26
2359296,20,27
2359296,20,28
37748736,20,29
147456,20,30
147456,20,31
2359296,20,32
147456,20,33
147456,20,34
2359296,20,35
2359296,20,36
2359296,20,37
37748736,20,38
147456,20,39
147456,20,40
2359296,20,41
147456,20,42
147456,20,43
2359296,20,44
37748736,20,45
